title,week,demand
A Light in the Attic,2024-01-07,8
A Light in the Attic,2024-01-14,15
A Light in the Attic,2024-01-21,15
A Light in the Attic,2024-01-28,17
A Light in the Attic,2024-02-04,23
A Light in the Attic,2024-02-11,11
A Light in the Attic,2024-02-18,8
A Light in the Attic,2024-02-25,7
A Light in the Attic,2024-03-03,12
A Light in the Attic,2024-03-10,9
A Light in the Attic,2024-03-17,8
A Light in the Attic,2024-03-24,7
A Light in the Attic,2024-03-31,10
A Light in the Attic,2024-04-07,7
A Light in the Attic,2024-04-14,12
A Light in the Attic,2024-04-21,10
A Light in the Attic,2024-04-28,13
A Light in the Attic,2024-05-05,6
A Light in the Attic,2024-05-12,15
A Light in the Attic,2024-05-19,12
Tipping the Velvet,2024-01-07,10
Tipping the Velvet,2024-01-14,9
Tipping the Velvet,2024-01-21,19
Tipping the Velvet,2024-01-28,15
Tipping the Velvet,2024-02-04,15
Tipping the Velvet,2024-02-11,9
Tipping the Velvet,2024-02-18,14
Tipping the Velvet,2024-02-25,10
Tipping the Velvet,2024-03-03,10
Tipping the Velvet,2024-03-10,16
Tipping the Velvet,2024-03-17,16
Tipping the Velvet,2024-03-24,15
Tipping the Velvet,2024-03-31,7
Tipping the Velvet,2024-04-07,6
Tipping the Velvet,2024-04-14,20
Tipping the Velvet,2024-04-21,8
Tipping the Velvet,2024-04-28,11
Tipping the Velvet,2024-05-05,13
Tipping the Velvet,2024-05-12,12
Tipping the Velvet,2024-05-19,12
Soumission,2024-01-07,17
Soumission,2024-01-14,18
Soumission,2024-01-21,16
Soumission,2024-01-28,18
Soumission,2024-02-04,7
Soumission,2024-02-11,12
Soumission,2024-02-18,16
Soumission,2024-02-25,12
Soumission,2024-03-03,5
Soumission,2024-03-10,11
Soumission,2024-03-17,13
Soumission,2024-03-24,14
Soumission,2024-03-31,14
Soumission,2024-04-07,13
Soumission,2024-04-14,14
Soumission,2024-04-21,11
Soumission,2024-04-28,12
Soumission,2024-05-05,8
Soumission,2024-05-12,9
Soumission,2024-05-19,17
Sharp Objects,2024-01-07,13
Sharp Objects,2024-01-14,13
Sharp Objects,2024-01-21,15
Sharp Objects,2024-01-28,17
Sharp Objects,2024-02-04,12
Sharp Objects,2024-02-11,16
Sharp Objects,2024-02-18,16
Sharp Objects,2024-02-25,12
Sharp Objects,2024-03-03,17
Sharp Objects,2024-03-10,21
Sharp Objects,2024-03-17,8
Sharp Objects,2024-03-24,14
Sharp Objects,2024-03-31,10
Sharp Objects,2024-04-07,7
Sharp Objects,2024-04-14,15
Sharp Objects,2024-04-21,16
Sharp Objects,2024-04-28,13
Sharp Objects,2024-05-05,12
Sharp Objects,2024-05-12,10
Sharp Objects,2024-05-19,4
Sapiens: A Brief History of Humankind,2024-01-07,8
Sapiens: A Brief History of Humankind,2024-01-14,13
Sapiens: A Brief History of Humankind,2024-01-21,17
Sapiens: A Brief History of Humankind,2024-01-28,22
Sapiens: A Brief History of Humankind,2024-02-04,14
Sapiens: A Brief History of Humankind,2024-02-11,11
Sapiens: A Brief History of Humankind,2024-02-18,15
Sapiens: A Brief History of Humankind,2024-02-25,11
Sapiens: A Brief History of Humankind,2024-03-03,8
Sapiens: A Brief History of Humankind,2024-03-10,13
Sapiens: A Brief History of Humankind,2024-03-17,8
Sapiens: A Brief History of Humankind,2024-03-24,7
Sapiens: A Brief History of Humankind,2024-03-31,6
Sapiens: A Brief History of Humankind,2024-04-07,11
Sapiens: A Brief History of Humankind,2024-04-14,10
Sapiens: A Brief History of Humankind,2024-04-21,9
Sapiens: A Brief History of Humankind,2024-04-28,8
